id,pregunta,opciones,correcta,tema
T3-001,¿Dónde están Cáceres y Badajoz?,En el Principado de Asturias||En Andalucía||En Extremadura,3,
T3-002,¿Cuál es la capital la Comunidad Valenciana?,Alicante||Castellón||Valencia,3,
T3-003,¿Dónde están las islas Baleares?,En el mar Cantábrico||En el mar Mediterráneo||En el océano Atlántico,2,
T3-004,¿Cómo se llama la extensa llanura situada en el centro de la península ibérica?,Marisma||Cordillera||Meseta,3,
T3-005,El parque nacional de Ordesa está en...,Aragón||Navarra||Castilla-La Mancha,1,
T3-006,¿En qué comunidad autónoma están Guadalajara y Cuenca?,En Castilla y León||En Castilla-La Mancha||En Cantabria,2,
T3-007,¿Qué comunidad autónoma tiene como capital Santiago de Compostela?,Galicia||Asturias||Cantabria,1,
T3-008,¿Dónde está Almería?,En Andalucía||En Canarias||En Aragón,1,
T3-009,La capital de la comunidad autónoma de Galicia es…,A Coruña||Vigo||Santiago de Compostela,3,
T3-010,¿Cuál de estos ríos desemboca en el mar Mediterráneo?,El Tajo||El Júcar||El Duero,2,
T3-011,¿Dónde está el monte Aneto?,En los Pirineos||En el Sistema Central||En Sierra Nevada,1,
T3-012,La ciudad de Vitoria es la sede administrativa de…,Navarra||País Vasco||La Rioja,2,
T3-013,España se divide en…,departamentos y regiones||comunidades y ciudades autónomas||regiones autónomas y distritos,2,
T3-014,El parque nacional de Aigüestortes está en...,Cataluña||Aragón||Castilla y León,1,
T3-015,En el norte de África están Ceuta y…,Almería||Melilla||Cádiz,2,
T3-016,¿En qué lugar de España hay un clima que se caracteriza por inviernos fríos y veranos muy calurosos?,Canarias||Comunidad Valenciana||Madrid,3,
T3-017,¿Cuál de estos ríos desemboca en el océano Atlántico?,El Guadalquivir||El Manzanares||El Júcar,1,
T3-018,¿Cuál de estas provincias forma parte de la Comunidad de Castilla y León?,Burgos||Huesca||Guadalajara,1,
T3-019,¿En qué comunidad autónoma está la ciudad de Huesca?,Castilla-La Mancha||Aragón||Extremadura,2,
T3-020,Canarias tiene un clima…,mediterráneo||oceánico||subtropical,3,
T3-021,El principal río que desemboca en el mar Mediterráneo es el…,Ebro||Duero||Tajo,1,
T3-022,España está entre los países de Europa más…,lluviosos||montañosos||fríos,2,
T3-023,¿En qué provincia está el parque nacional de Monfragüe?,En Cáceres||En Murcia||En Ciudad Real,1,
T3-024,¿Cuál es la capital de la comunidad autónoma de Extremadura?,Cáceres||Badajoz||Mérida,3,
